Recipe_Name                                                                                       ,calories      ,cuisine_type        ,meal_type                 ,diet_labels                        ,ingredient_1_name                    ,ingredient_1_quantity ,ingredient_1_unit ,ingredient_2_name        ,ingredient_2_quantity ,ingredient_2_unit ,ingredient_3_name             ,ingredient_3_quantity ,ingredient_3_unit ,ingredient_4_name                      ,ingredient_4_quantity ,ingredient_4_unit ,ingredient_5_name           ,ingredient_5_quantity ,ingredient_5_unit ,ingredient_6_name          ,ingredient_6_quantity ,ingredient_6_unit ,ingredient_7_name                ,ingredient_7_quantity ,ingredient_7_unit ,ingredient_8_name                 ,ingredient_8_quantity ,ingredient_8_unit ,ingredient_9_name                          ,ingredient_9_quantity ,ingredient_9_unit ,ingredient_10_name                         ,ingredient_10_quantity ,ingredient_10_unit ,ingredient_11_name         ,ingredient_11_quantity ,ingredient_11_unit ,ingredient_12_name     ,ingredient_12_quantity ,ingredient_12_unit ,ingredient_13_name   ,ingredient_13_quantity ,ingredient_13_unit ,ingredient_14_name    ,ingredient_14_quantity ,ingredient_14_unit ,ingredient_15_name    ,ingredient_15_quantity ,ingredient_15_unit ,ENERC_KCAL ,FAT     ,FASAT  ,FATRN ,FAMS   ,FAPU   ,CHOCDF  ,FIBTG  ,SUGAR  ,PROCNT  ,CHOLE   ,NA       ,CA       ,MG      ,K        ,FE     ,ZN     ,P        ,VITA_RAE ,VITC    ,VITD   ,TOCPHA ,VITK1    ,WATER
Classic Margherita Pizza                                                                          , 1323.074198  ,italian             ,lunch/dinner              ,High-Fiber                         ,Pizza Dough                          ,          1           ,<unit>            ,Semolina flour           ,          0           ,                  ,cornmeal                      ,          0           ,                  ,Extra-virgin olive oil                 ,          0           ,                  ,Kosher salt                 ,          0           ,                  ,pepper                     ,          0           ,                  ,Pizza Sauce                      ,          0.666666667 ,cup               ,mozzarella                        ,          6           ,ounce             ,Parmigiano-Reggiano                        ,          0.5         ,ounce             ,Fresh basil                                ,           1           ,leaf               ,red-pepper flakes          ,           1           ,serving            ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,  1323.074 , 57.322 ,28.879 ,0.039 ,19.934 , 5.416 ,130.585 , 8.885 ,17.483 , 68.439 ,144.016 ,2989.052 ,1365.519 ,139.001 ,1063.221 ,10.533 , 7.613 ,1005.744 , 684.975 , 19.388 , 0.751 , 2.208 ,  21.774 ,321.207
Chicken Teriyaki                                                                                  , 2611.290222  ,japanese            ,lunch/dinner              ,Low-Carb                           ,chicken thighs                       ,          5           ,<unit>            ,kosher salt              ,          1.5         ,teaspoon          ,low-sodium soy sauce          ,          0.333333333 ,cup               ,mirin                                  ,          0.333333333 ,cup               ,sake                        ,          0.333333333 ,cup               ,radishes                   ,          5           ,<unit>            ,scallions                        ,          5           ,<unit>            ,rice vinegar                      ,          2           ,teaspoon          ,Cooked white rice                          ,          1           ,serving           ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   652.823 , 40.228 ,10.94  ,0.205 ,16.782 , 8.437 , 15.901 , 0.793 , 0.605 , 43.168 ,236.425 , 965.966 ,  40.228 , 69.288 , 647.142 , 2.8   , 3.527 , 437.764 ,  64.168 ,  4.004 , 0.241 , 0.689 ,  41.069 ,255.259
Vegan Beef Stroganoff with Mushrooms                                                              , 1301.414503  ,american            ,lunch/dinner              ,"High-Fiber, Low-Fat, Low-Sodium"  ,Pasta                                ,          8           ,ounce             ,Mushrooms                ,         14           ,ounce             ,Onion Powder                  ,          0.25        ,teaspoon          ,Garlic Powder                          ,          0.75        ,teaspoon          ,Salt                        ,          1.5         ,dash              ,Black Pepper               ,          0.125       ,teaspoon          ,Nutritional Yeast                ,          3           ,tablespoon        ,Olive Oil                         ,          1           ,tablespoon        ,Flour                                      ,          3           ,tablespoon        ,Plant Based Milk                           ,           0.625       ,cup                ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   433.805 ,  7.21  , 1.088 ,0.001 , 4.875 , 1.713 , 73.08  , 8.374 , 5.652 , 23.178 ,  0     , 130.092 , 121.525 , 82.224 , 644.012 , 2.72  , 4.884 , 291.265 ,   6.483 ,  2.834 , 0.265 , 1.935 ,   3.018 ,178.233
Fettuccine Alfredo With Shrimp & Broccoli Recipe                                                  , 2800.971662  ,italian             ,lunch/dinner              ,                                   ,Broccoli                             ,          0           ,                  ,Shrimp                   ,          0           ,                  ,garlic                        ,          2           ,clove             ,olive oil                              ,          0.25        ,cup               ,garlic                      ,          2           ,clove             ,shrimp                     ,          0.875       ,pound             ,parsley                          ,          2.5         ,tablespoon        ,garlic                            ,          1.5         ,teaspoon          ,lemon juice                                ,          1           ,tablespoon        ,Fettuccine                                 ,           0.5         ,pound              ,butter                     ,           0.25        ,cup                ,heavy cream            ,           0.5         ,cup                ,parmesan             ,           2           ,ounce              ,Salt                  ,                  0    ,                   ,black pepper          ,           0           ,                   ,  1400.486 , 83.771 ,37.863 ,0.746 ,34.986 , 5.821 , 92.066 , 4.346 , 5.146 , 70.871 ,473.338 ,1130.864 , 669.741 ,158.209 , 961.095 , 3.614 , 5.629 , 959.621 , 536.943 , 12.153 , 1.14  , 5.37  , 101.321 ,233.164
All-Vegetable Pad Thai                                                                            , 3932.952599  ,south east asian    ,lunch/dinner              ,                                   ,rice noodles                         ,        375           ,gram              ,bean sprouts             ,        150           ,gram              ,courgette                     ,        150           ,gram              ,peanuts                                ,        150           ,gram              ,vegetable oil               ,        100           ,milliliter        ,carrots                    ,        150           ,gram              ,honey                            ,        100           ,milliliter        ,fish sauce                        ,        100           ,milliliter        ,tamarind                                   ,        100           ,gram              ,garlic                                     ,          21           ,gram               ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   393.295 , 17.241 , 1.669 ,0.073 ,10.568 , 4.064 , 54.48  , 3.298 ,18.566 ,  7.951 ,  0     ,1042.714 ,  47.145 , 68.664 , 340.23  , 1.657 , 1.004 , 148.763 , 127.587 ,  6.688 , 0     , 3.498 ,   7.891 , 61.938
Roasted Veggie Pizza                                                                              , 1875.905385  ,italian             ,lunch/dinner              ,Low-Fat                            ,dough                                ,          1           ,pizza             ,yeast                    ,          0.25        ,ounce             ,water                         ,          1           ,cup               ,bread flour                            ,          2           ,cup               ,olive oil                   ,          1           ,tablespoon        ,salt                       ,          1           ,teaspoon          ,sugar                            ,          1           ,teaspoon          ,pizza                             ,          0           ,                  ,tomato sauce                               ,         14           ,ounce             ,oregano                                    ,           2           ,teaspoon           ,basil                      ,           2           ,teaspoon           ,sugar                  ,           0.5         ,teaspoon           ,garlic powder        ,           2           ,teaspoon           ,onion powder          ,                  1    ,teaspoon           ,                      ,                       ,                   ,   234.488 ,  3.271 , 0.507 ,0.005 , 1.484 , 0.866 , 43.303 , 2.627 , 4.044 ,  7.954 ,  0     , 414.402 ,  49.171 , 25.879 , 241.126 , 3.15  , 0.742 ,  83.95  ,  11.457 ,  3.583 , 0     , 1.23  ,   5.455 , 90.368
Sheet Pan Chicken Fajitas With Peppers and Onions                                                 , 2357.671055  ,mexican             ,lunch/dinner              ,High-Fiber                         ,extra virgin olive oil               ,          3           ,tablespoon        ,lime juice               ,          0.25        ,cup               ,freshly squeezed orange juice ,          0.25        ,cup               ,jalapenos                              ,          2           ,tablespoon        ,chili powder                ,          1           ,tablespoon        ,dried oregano              ,          2           ,teaspoon          ,cumin                            ,          1           ,teaspoon          ,kosher salt                       ,          0.75        ,teaspoon          ,"skinless, boneless chicken breast halves" ,          1.25        ,pound             ,yellow onion                               ,           1           ,<unit>             ,bell peppers               ,           2           ,<unit>             ,corn tortillas         ,          10           ,<unit>             ,lime                 ,           1           ,<unit>             ,cilantro leaves       ,                  1    ,handful            ,avocado               ,           1           ,<unit>             ,   589.418 , 23.798 , 3.7   ,0.01  ,13.913 , 3.773 , 58.069 ,10.744 , 6.846 , 39.33  ,103.476 , 511.291 , 107.9   ,124.459 ,1147.652 , 3.56  , 2.689 , 580.583 , 145.442 ,104.207 , 0     , 5.487 ,  27.224 ,331.537
Spice-Rubbed Salmon Steaks With Mashed Potatoes                                                   , 2335.524     ,nordic              ,lunch/dinner              ,Low-Carb                           ,salmon                               ,          4           ,steak             ,extra-virgin olive oil   ,          2           ,tablespoon        ,crushed red pepper            ,          1           ,teaspoon          ,curry powder                           ,          2           ,teaspoon          ,salt                        ,          0.5         ,teaspoon          ,mashed potatoes            ,          2           ,cup               ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   583.881 , 36.912 , 7.7   ,0.127 ,13.363 ,10.101 , 18.479 , 2.227 , 0.679 , 42.586 ,108.9   , 760.897 ,  45.752 , 74.851 ,1085.669 , 1.315 , 1.038 , 551.579 , 176.24  ,  8.073 ,21.78  , 8.895 ,  13.552 ,224.944
Lemon and herbs chicken                                                                           ,  938.78136   ,american            ,lunch/dinner              ,"High-Protein, Low-Carb"           ,chicken breast                       ,          2           ,<unit>            ,lemon                    ,          1.5         ,<unit>            ,parsley                       ,          0.25        ,bunch             ,olive oil                              ,          2           ,tablespoon        ,salt                        ,          0           ,                  ,pepper                     ,          0           ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   469.391 , 20.909 , 3.444 ,0.019 ,11.766 , 2.647 ,  7.03  , 2.282 , 1.646 , 62.227 ,198.56  , 830.354 ,  45.63  , 86.794 ,1051.454 , 2.035 , 1.982 , 595.477 ,  56.973 , 43.365 , 0     , 3.629 , 132.879 ,263.793
Vegetarian lasagna                                                                                ,  719.3015337 ,italian             ,lunch/dinner              ,"Balanced, High-Fiber"             ,yellow pepper                        ,          1           ,<unit>            ,red pepper               ,          1           ,<unit>            ,zucchini                      ,          1           ,<unit>            ,eggplant                               ,          1           ,<unit>            ,gruyere                     ,          1           ,handful           ,bechamel                   ,        250           ,milliliter        ,tomato sauce                     ,        400           ,milliliter        ,salt                              ,          0           ,                  ,pepper                                     ,          0           ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   179.825 ,  7.428 , 4.026 ,0.09  , 1.837 , 0.689 , 25.143 , 7.644 ,13.716 ,  8.059 , 19.385 ,1008.265 , 177.06  , 63.316 ,1006.763 ,75.407 , 1.252 , 189.11  , 112.712 ,142.674 , 0.041 , 2.463 ,  13.569 ,387.832
Serious Heat: Kogi-Inspired Bulgogi Tacos with Spicy Slaw Recipe                                  , 2301.088961  ,"mexican, korean"   ,lunch/dinner              ,Low-Carb                           ,soy sauce                            ,          2           ,tablespoon        ,sesame oil               ,          2           ,teaspoon          ,garlic                        ,          2           ,teaspoon          ,brown sugar                            ,          1           ,tablespoon        ,mirin                       ,          1           ,tablespoon        ,black pepper               ,          0.5         ,teaspoon          ,ground beef                      ,          1           ,pound             ,onion                             ,          1           ,<unit>            ,scallions                                  ,          2           ,<unit>            ,Napa cabbage                               ,           1           ,pound              ,salt                       ,           1           ,tablespoon         ,fish sauce             ,           2           ,tablespoon         ,white vinegar        ,           2           ,tablespoon         ,chile flakes          ,                  1.5  ,teaspoon           ,garlic                ,           1           ,teaspoon           ,   575.272 , 48.001 ,12.371 ,1.338 ,16.696 ,15.242 , 11.864 , 2.413 , 6.613 , 23.257 , 91.774 ,1465.391 , 176.955 , 73.109 , 762.483 , 3.77  , 5.243 , 259.126 , 277.12  , 56.528 , 0.113 , 0.599 ,  76.803 ,239.062
Skillet Baked Ziti Recipe                                                                         , 2133.570655  ,italian             ,lunch/dinner              ,High-Fiber                         ,olive oil                            ,          1           ,tablespoon        ,garlic                   ,          3           ,clove             ,red chili flakes              ,          1           ,teaspoon          ,tomatoes                               ,         28           ,ounce             ,Kosher salt                 ,          0           ,                  ,black pepper               ,          0           ,                  ,low sodium chicken broth         ,          1.5         ,cup               ,penne                             ,          3           ,cup               ,Parmesan cheese                            ,          0.5         ,cup               ,mozzarella                                 ,           1           ,cup                ,fresh basil                ,           0.5         ,cup                ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   533.393 , 16.585 , 7.591 ,0     , 6.186 , 1.5   , 69.954 , 6.829 , 7.386 , 26.899 , 34.76  , 986.302 , 462.298 , 81.606 , 714.326 , 2.933 , 2.845 , 446.141 , 145.91  , 26.59  , 0.205 , 2.011 ,  23.16  ,306.178
Mustard-Roasted Chicken With Vegetables                                                           , 3183.089591  ,french              ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,chicken                              ,          4           ,pound             ,mustard                  ,          3           ,tablespoon        ,low-sodium soy sauce          ,          2           ,tablespoon        ,kosher salt                            ,          0           ,                  ,pepper                      ,          0           ,                  ,carrots                    ,          4           ,<unit>            ,fennel                           ,          1           ,bulb              ,red onion                         ,          1           ,<unit>            ,thyme                                      ,          8           ,sprig             ,olive oil                                  ,           2           ,tablespoon         ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   795.772 , 54.166 ,14.389 ,0.3   ,24.5   ,10.977 , 15.72  , 5.576 , 6.149 , 60.512 ,231.332 ,1457.469 , 128.925 ,104.086 ,1135.208 , 4.973 , 4.594 , 542.937 , 587.411 , 26.853 , 0.617 , 2.664 ,  55.391 ,347.579
Lamb Gyro with Tzatziki Sauce recipes                                                             , 1793.164055  ,mediterranean       ,snack                     ,Low-Carb                           ,leg of lamb                          ,          1.5         ,pound             ,rosemary                 ,          1           ,tablespoon        ,oregano                       ,          1           ,tablespoon        ,lemon juice                            ,          2           ,tablespoon        ,garlic                      ,          2           ,clove             ,olive oil                  ,          2           ,tablespoon        ,kosher salt                      ,          1           ,teaspoon          ,black pepper                      ,          0           ,                  ,yogurt                                     ,          0.5         ,cup               ,cucumber                                   ,           0.25        ,<unit>             ,lemon juice                ,           0.5         ,tablespoon         ,garlic                 ,           1           ,clove              ,pepper               ,           0           ,                   ,kosher salt           ,                  0    ,                   ,                      ,                       ,                   ,   448.291 , 32.398 ,12.194 ,0     ,15.276 , 2.735 ,  5.04  , 0.914 , 2.044 , 33.061 ,119.647 , 559.705 ,  78.401 , 52.969 , 564.45  , 3.491 , 6.126 , 339.154 ,  10.857 ,  5.18  , 0.031 , 1.164 ,  14.279 ,168.434
Cheeseburger Skillet Fries                                                                        , 1458.7624    ,american            ,lunch/dinner              ,High-Fiber                         ,potatoes                             ,          1           ,pound             ,canola oil               ,          1           ,tablespoon        ,salt                          ,          1           ,dash              ,ground beef                            ,          0.5         ,pound             ,onion powder                ,          0.25        ,teaspoon          ,garlic powder              ,          0.25        ,teaspoon          ,salt                             ,          0.25        ,teaspoon          ,pepper                            ,          0.25        ,teaspoon          ,Worcestershire sauce                       ,          1           ,teaspoon          ,Cheddar cheese                             ,           2           ,ounce              ,lettuce                    ,           1           ,cup                ,grape tomatoes         ,           6           ,<unit>             ,red onion            ,           0.25        ,cup                ,Ketchup               ,                  0    ,                   ,Mustard               ,           0           ,                   ,   364.691 , 20.28  , 7.339 ,0.683 , 8.758 , 1.68  , 29.739 , 5.242 , 6.618 , 17.532 , 54.289 , 416.026 , 156.961 , 66.319 ,1157.167 , 2.936 , 3.64  , 279.32  , 150.771 , 49.106 , 0.142 , 1.87  ,  35.167 ,332.703
Grill Like an Italian with Colavita: Caper-Pesto Grilled Chicken with Crushed Tomato Pasta        , 1041.573303  ,italian             ,lunch/dinner              ,Low-Carb                           ,Extra Virgin Olive Oil               ,          1           ,tablespoon        ,Salt                     ,          0           ,                  ,skinless chicken thighs       ,          4           ,<unit>            ,capers                                 ,          2           ,tablespoon        ,pesto sauce                 ,          4           ,tablespoon        ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   173.596 ,  9.768 , 1.843 ,0.019 , 3.074 , 1.141 ,  1.032 , 0.283 , 0.012 , 19.415 , 90.505 , 271.312 ,  26.753 , 22.873 , 231.876 , 1.119 , 1.515 , 176.653 ,   6.874 ,  0.123 , 0     , 0.521 ,   4.824 , 75.046
Burrito Casserole                                                                                 , 6004.977776  ,mexican             ,lunch/dinner              ,                                   ,cooking spray                        ,          0           ,                  ,olive oil                ,          2           ,tablespoon        ,yellow onion                  ,          0.5         ,<unit>            ,ground beef                            ,          1           ,pound             ,refried beans               ,         16           ,ounce             ,seasoning                  ,          1           ,package           ,condensed cream of mushroom soup ,         10.75        ,ounce             ,sour cream                        ,          4           ,ounce             ,tortilla chips                             ,         14.5         ,ounce             ,cheese                                     ,           2.5         ,cup                ,salsa                      ,           8           ,ounce              ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   500.415 , 32.752 ,10.918 ,0.556 ,12.843 , 5.478 , 33.962 , 3.693 , 2.204 , 17.921 , 59.638 , 765.367 , 272.015 , 61.844 , 405.801 , 2.055 , 3.416 , 321.735 , 113.984 ,  3.219 , 0.254 , 2.046 ,  12.603 ,114.492
Vegetarian Burrito Bowl Recipe with Queso                                                         ,  742.525     ,mexican             ,lunch/dinner              ,High-Fiber                         ,black beans                          ,          0.5         ,cup               ,oregano                  ,          0.5         ,teaspoon          ,cumin                         ,          0.5         ,teaspoon          ,salt                                   ,          0.25        ,teaspoon          ,cooked brown rice           ,          1           ,cup               ,peppers                    ,          0.5         ,cup               ,onions                           ,          0.5         ,cup               ,queso                             ,          0.25        ,cup               ,salsa                                      ,          0.25        ,cup               ,lime                                       ,           0.25        ,<unit>             ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   185.631 ,  3.363 , 1.762 ,0     , 0.925 , 0.402 , 31.089 , 5.677 , 2.751 ,  8.787 ,  8.663 , 310.481 , 107.296 , 72.358 , 508.996 , 1.91  , 1.529 , 175.218 ,  11.431 , 12.275 , 0.041 , 0.367 ,   4.008 , 88.204
BBQ Pulled Pork Sandwich                                                                          , 6412.733664  ,american            ,lunch/dinner              ,Balanced                           ,coleslaw                             ,         16           ,ounce             ,pepperoncini peppers     ,          0.25        ,cup               ,red onion                     ,          0.25        ,cup               ,mayonnaise                             ,          0.333333343 ,cup               ,lemon                       ,          0.5         ,<unit>            ,red wine vinegar           ,          1           ,tablespoon        ,granulated garlic                ,          1           ,tablespoon        ,Dijon mustard                     ,          1           ,teaspoon          ,white sugar                                ,          1           ,teaspoon          ,salt                                       ,           1           ,teaspoon           ,granulated onion           ,           0.5         ,teaspoon           ,lemon pepper           ,           0.25        ,teaspoon           ,kosher salt          ,           2           ,tablespoon         ,black pepper          ,                  2    ,tablespoon         ,granulated garlic     ,           2           ,tablespoon         ,   801.592 , 36.668 ,10.069 ,0.219 ,12.966 ,10.664 , 83.16  , 4.903 ,56.387 , 34.558 ,112.888 ,1541.346 , 162.711 ,104.946 ,1247.383 , 4.639 , 6.107 , 417.931 ,  47.642 , 19.17  , 1.207 , 1.965 ,  46.751 ,280.329
Chicken Caesar Pizza recipes                                                                      , 3237.749     ,italian             ,lunch/dinner              ,                                   ,Pizza Crust                          ,          1           ,<unit>            ,salad dressing           ,          0.75        ,cup               ,cooked chicken breasts        ,          1           ,cup               ,bacon                                  ,          5           ,strip             ,mozzarella cheese           ,          0.75        ,cup               ,Parmesan cheese            ,          0.25        ,cup               ,Italian seasoning                ,          0.25        ,teaspoon          ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   539.625 , 36.454 ,12.4   ,0.045 ,11.77  ,10.09  , 27.463 , 1.135 , 3.703 , 24.844 , 68.908 , 832.447 , 321.637 , 33.415 , 207.345 , 2.342 , 1.902 , 320.904 ,  80.958 ,  0.021 , 0.313 , 1.847 ,  34.175 , 78.92
Buffalo Chicken Tacos                                                                             , 3104.19675   ,american            ,lunch/dinner              ,High-Fiber                         ,olive oil                            ,          1           ,tablespoon        ,chicken breast tenders   ,          1           ,pound             ,salt                          ,          0.5         ,teaspoon          ,celery                                 ,          0.75        ,cup               ,butter                      ,          1           ,tablespoon        ,pepper sauce               ,          4.5         ,tablespoon        ,flour tortillas                  ,          8           ,<unit>            ,blue cheese                       ,          1           ,ounce             ,celery leaves                              ,         24           ,<unit>            ,parsley                                    ,          24           ,leaf               ,avocado                    ,           1           ,<unit>             ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   776.049 , 42.935 , 9.836 ,0.014 ,21.097 , 7.608 , 71.973 , 8.298 , 3.972 , 27.694 , 59.441 ,1770.127 , 241.797 , 71.571 , 792.515 , 5.275 , 2.124 , 517.716 ,  65.856 , 25.479 , 0.262 , 2.922 , 111.244 ,177.447
Ann Seranne's Rib Roast Of Beef                                                                   ,  941.07708   ,american            ,lunch/dinner              ,Low-Carb                           ,roast of beef                        ,          1           ,<unit>            ,Flour                    ,          0           ,                  ,Salt                          ,          0           ,                  ,beef stock                             ,          0.75        ,cup               ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   156.846 ,  9.247 , 3.621 ,0     , 3.977 , 0.356 ,  1.084 , 0.026 , 0.165 , 16.317 , 56.625 , 247.546 ,  14.714 , 18.923 , 297.392 , 1.483 , 2.927 , 159.06  ,   0     ,  0     , 0     , 0.275 ,   1.09  , 78.94
Honey-Garlic Chicken Thighs with Carrots and Broccoli                                             , 2698.945226  ,italian             ,lunch/dinner              ,High-Fiber                         ,honey                                ,          0.333333333 ,cup               ,reduced-sodium soy sauce ,          1.5         ,tablespoon        ,garlic                        ,          1.5         ,tablespoon        ,cider vinegar                          ,          1           ,tablespoon        ,crushed red pepper          ,          0.25        ,teaspoon          ,chicken thighs             ,         40           ,ounce             ,carrots                          ,          1           ,pound             ,olive oil                         ,          2           ,tablespoon        ,broccoli florets                           ,          1           ,pound             ,salt                                       ,           0.5         ,teaspoon           ,ground pepper              ,           0.5         ,teaspoon           ,cornstarch             ,           1           ,teaspoon           ,water                ,           1           ,teaspoon           ,                      ,                       ,                   ,                      ,                       ,                   ,   674.736 , 40.425 ,10.012 ,0.169 ,18.749 , 7.928 , 42.667 , 6.072 ,30.334 , 38     ,194.478 , 754.513 , 117.137 , 83.731 ,1192.414 , 3.027 , 3.437 , 442.227 ,2015.538 ,113.599 , 0.198 , 2.199 ,  23.938 ,350.484
Seafood Paella                                                                                    , 5682.617729  ,mediterranean       ,lunch/dinner              ,High-Protein                       ,lobster                              ,          6.5         ,pound             ,shrimp                   ,          1           ,pound             ,rice                          ,          2           ,cup               ,green pepper                           ,          1           ,<unit>            ,vidalia onions              ,          2           ,<unit>            ,frozen peas                ,          1           ,cup               ,sausage                          ,          2           ,link              ,boneless skinless chicken breasts ,          2           ,<unit>            ,garlic powder                              ,          1           ,teaspoon          ,saffron                                    ,           1           ,pinch              ,olive oil                  ,           0.25        ,cup                ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   947.103 , 18.105 , 3.479 ,0.072 , 9.288 , 3.421 , 64.27  , 2.374 , 7.211 ,124.557 ,817.801 ,2305.612 , 501.627 ,280.667 ,1772.422 , 3.386 ,20.264 ,1281.462 ,  41.818 , 24.911 , 0.117 , 6.263 ,  13.441 ,674.125
Classic Italian-American Stuffed Shells With Ricotta and Spinach Recipe                           , 2857.11572   ,italian             ,lunch/dinner              ,                                   ,pasta                                ,          6           ,ounce             ,Kosher salt              ,          0           ,                  ,Extra-virgin olive oil        ,          0           ,                  ,spinach                                ,         10           ,ounce             ,ricotta                     ,          1           ,pound             ,mozzarella                 ,         12           ,ounce             ,Parmigiano-Reggiano cheese       ,          2           ,ounce             ,garlic                            ,          1           ,clove             ,grated nutmeg                              ,          1           ,pinch             ,black pepper                               ,           0           ,                   ,Tomato                     ,           1.5         ,cup                ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   476.186 , 26.797 ,14.748 ,0.252 , 9.051 , 1.466 , 32.17  , 2.603 , 2.16  , 27.148 , 88.262 , 603.126 , 614.458 , 88.548 , 644.822 , 2.279 , 3.045 , 470.417 , 449.223 , 18.537 , 0.425 , 1.911 , 236.833 ,168.485
Chicken Fried Rice                                                                                , 1376.386692  ,chinese             ,lunch/dinner              ,Balanced                           ,oil                                  ,          3           ,tablespoon        ,skinless chicken thighs  ,          0.25        ,pound             ,onions                        ,          0.5         ,cup               ,anchovy fillets                        ,          1.5         ,<unit>            ,cooked rice                 ,          3           ,cup               ,eggs                       ,          2           ,<unit>            ,frozen peas                      ,          0.5         ,cup               ,carrots                           ,          0.25        ,cup               ,salt                                       ,          0           ,                  ,soy sauce                                  ,           0           ,                   ,white pepper               ,           0           ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   688.193 , 29.257 , 4.027 ,0.113 ,16.313 , 7.727 , 76.947 , 3.563 , 4.397 , 27.043 ,241.847 ,1061.463 ,  84.711 , 64.111 , 464.097 , 4.966 , 3.157 , 357.771 , 246.171 ,  9.89  , 1.051 , 4.612 ,  28.65  ,320.831
Eggplant Fries with Marinara Sauce                                                                ,  549.3070526 ,italian             ,snack                     ,High-Fiber                         ,eggplant                             ,          1           ,pound             ,olive oil                ,          1           ,tablespoon        ,Kosher salt                   ,          0           ,                  ,black pepper                           ,          0           ,                  ,Panko bread crumbs          ,          0.5         ,cup               ,Parmesan cheese            ,          0.25        ,cup               ,egg                              ,          1           ,<unit>            ,Marinara sauce                    ,          0           ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   274.654 , 14.358 , 4.445 ,0.008 , 7.155 , 1.406 , 25.143 , 7.503 , 8.591 , 13.101 , 92.62  , 673.227 , 284.607 , 44.001 , 577.8   , 1.341 , 1.163 , 227.372 ,  75.379 ,  4.99  , 0.523 , 1.928 ,  13.802 ,231.403
